,gen_loss,real_acc,fake_acc,fake_loss,real_loss
90,"tf.Tensor(1.2993383, shape=(), dtype=float32)","tf.Tensor(78.833, shape=(), dtype=float32)","tf.Tensor(83.4015, shape=(), dtype=float32)","tf.Tensor(0.4356708, shape=(), dtype=float32)","tf.Tensor(0.46127465, shape=(), dtype=float32)"
91,"tf.Tensor(1.3141335, shape=(), dtype=float32)","tf.Tensor(77.8275, shape=(), dtype=float32)","tf.Tensor(82.194, shape=(), dtype=float32)","tf.Tensor(0.43771216, shape=(), dtype=float32)","tf.Tensor(0.46923542, shape=(), dtype=float32)"
92,"tf.Tensor(1.3195444, shape=(), dtype=float32)","tf.Tensor(80.0245, shape=(), dtype=float32)","tf.Tensor(85.209, shape=(), dtype=float32)","tf.Tensor(0.41518033, shape=(), dtype=float32)","tf.Tensor(0.44526672, shape=(), dtype=float32)"
93,"tf.Tensor(1.358656, shape=(), dtype=float32)","tf.Tensor(79.762, shape=(), dtype=float32)","tf.Tensor(83.3785, shape=(), dtype=float32)","tf.Tensor(0.4237067, shape=(), dtype=float32)","tf.Tensor(0.44696882, shape=(), dtype=float32)"
94,"tf.Tensor(1.4216838, shape=(), dtype=float32)","tf.Tensor(81.157, shape=(), dtype=float32)","tf.Tensor(85.556, shape=(), dtype=float32)","tf.Tensor(0.40039054, shape=(), dtype=float32)","tf.Tensor(0.43117276, shape=(), dtype=float32)"
95,"tf.Tensor(1.3312583, shape=(), dtype=float32)","tf.Tensor(79.265, shape=(), dtype=float32)","tf.Tensor(83.5175, shape=(), dtype=float32)","tf.Tensor(0.42461538, shape=(), dtype=float32)","tf.Tensor(0.45597357, shape=(), dtype=float32)"
96,"tf.Tensor(1.3228762, shape=(), dtype=float32)","tf.Tensor(78.572, shape=(), dtype=float32)","tf.Tensor(83.379, shape=(), dtype=float32)","tf.Tensor(0.42696247, shape=(), dtype=float32)","tf.Tensor(0.45860064, shape=(), dtype=float32)"
97,"tf.Tensor(1.3150986, shape=(), dtype=float32)","tf.Tensor(79.1605, shape=(), dtype=float32)","tf.Tensor(83.863, shape=(), dtype=float32)","tf.Tensor(0.4276526, shape=(), dtype=float32)","tf.Tensor(0.4585683, shape=(), dtype=float32)"
98,"tf.Tensor(1.2849046, shape=(), dtype=float32)","tf.Tensor(78.8455, shape=(), dtype=float32)","tf.Tensor(83.6615, shape=(), dtype=float32)","tf.Tensor(0.43259242, shape=(), dtype=float32)","tf.Tensor(0.46168187, shape=(), dtype=float32)"
99,"tf.Tensor(1.3590089, shape=(), dtype=float32)","tf.Tensor(79.5765, shape=(), dtype=float32)","tf.Tensor(85.0105, shape=(), dtype=float32)","tf.Tensor(0.41006127, shape=(), dtype=float32)","tf.Tensor(0.44809315, shape=(), dtype=float32)"
